-7,79930028290825 -6,56080735472538 -14,7544605201684 0,93 14Her
20,1504574209759 3,17522196576255 -5,54652569484494 1,13 16CygB
-30,1218471461445 -14,5035307647623 -21,9618287002676 8,5 18Del
14,0596548132169 -37,4476448729848 0 4,9 24Sex
-4,00654521428699 13,2975895304492 30,8457786047874 0,37 2MASSJ01225093-2439505
-10,4558002286212 -3,06875391749336 -38,4871276009659 0,28 2MASSJ02192210-3925225
10,6600454171034 -3,57258670537244 -38,3874986934274 0,22 2MASSJ12073346-3932539
-39,0419835536013 7,46833628762202 4,46625942991595 0,64 2MASSJ22362452+4751425
0,506070459278251 17,501262870809 -35,9645615935616 1,41 30AriB
-0,640667546202783 -9,32257124644191 10,1502778947306 1,21 47UMa
-11,6985996283997 -3,43962295281595 -27,1444389687256 1,49 51Eri
2,23390657692722 -5,87061297613276 14,1280025003545 1,18 51Peg
-4,40437871310551 -11,332371999069 3,25170774767054 0,94 55Cnc
-4,12809430008097 -1,30700920916452 39,7649413978796 5,2 6Lyn
0,576964852511099 -5,48171588751835 6,47490181469154 0,96 61Vir
4,10254536380389 -19,1697173764891 -2,85151174878561 4,87 7CMa
8,12788544973655 13,9767820422736 7,68351632188928 1,89 70Vir
4,18346114055078 2,60084404980062 -39,6955194337361 1 ABPic
-8,52869647481497 -2,39096547102604 4,00797317441621 0,7 AUMic
-8,52869647481497 -2,39096547102604 4,00797317441621 0,75 AUMic
-2,37239226889513 -4,66281826288261 39,6563977281071 0,86 BD+144559
0,823632388722533 20,7235602512072 34,2031530739906 0,81 BD+45564
13,4759017000442 -31,6917640882323 -20,3477802805755 0,9 BD+55362
27,7690900881743 -25,8256289457187 -12,724563852365 0,8 BD+601417
12,8474367658141 35,2214542228039 6,47993582293332 0,8 BD+631405
-21,4170305526195 33,7832917624699 0 0,84 BD-004475
5,27263345604919 1,55280420938918 19,5100170624081 0,69 BD-061339
-29,8551810424266 20,4008164718893 -17,1018961581522 0,71 BD-082823
-29,8551810424266 20,4008164718893 -17,1018961581522 0,72 BD-082823
-10,4128710119985 -31,9979703602315 21,6264192624028 0,91 BD-103166
-0,00383555049899156 0,0109105670272303 27,166497538293 0,64 BD-114672
-21,6559194404639 -25,0436653190511 9,55762819246995 0,69 BD-1763
1,86542175559598 5,24532479941434 -6,56428218047473 0,17 CDCet
-4,37989514771308 -7,85370321452361 -6,13592448398942 0,39 COCONUTS-2A
12,4286882148655 9,6274618005561 26,1622379544736 0,42 DECVn
-12,6301500353722 31,4207621637677 21,2888472006337 1,26 DMPP-1
33,500384385743 19,0838812442946 -10,655032738623 0,91 DMPP-3A
-39,529441771047 3,36691777391841 5,10755303184179 0,96 DSTucA
-15,9785166493157 0,857846073040487 -0,489067278102831 0,3 G264-012
14,4382958928461 -5,59151559426518 23,2426635054959 0,31 G9-40
-3,03968110423461 -2,06142347918541 -0,0135997214008002 0,16 GJ1061
12,1817189120906 -2,83993614996939 -1,62118968998418 0,21 GJ1132
-3,85650057873294 2,08777000751646 -10,103634206163 0,36 GJ1148
-3,24341161694793 -8,87451096801949 -11,1862415248174 0,21 GJ1214
10,0772381652759 -14,0052229463238 10,8333803673679 0,39 GJ1252
-2,60818498721639 -1,17470205635672 9,84536451337635 0,19 GJ1265
1,38648948869258 16,0299827663546 -2,73124502894181 0,7 GJ143
-0,353352017538935 -3,54352926128188 0,0915506665200569 0,38 GJ15A
4,00526123740285 -9,91420235304545 -23,5411065290701 0,66 GJ160,2
-12,1058415781396 6,75329092260952 -6,05913967899619 0,41 GJ163
-8,55265018407683 -8,26621081519589 -3,34554473704194 0,38 GJ179
1,22143188303366 3,17332148472825 11,4463291670156 0,41 GJ180
23,9521682727354 14,9673815823075 -24,023083337577 2,24 GJ2030
4,23416595699219 11,0492856544959 25,8652687736664 0,71 GJ2056
0,103813977853118 3,14633129256725 -4,81914110532306 0,46 GJ229
0,163298266277268 0,00448242676807475 5,57817847589884 0,36 GJ251
-19,8310732732297 -12,8014289651174 -0,323462088735862 0,52 GJ27,1
0,55339990132301 -1,63989315547013 -5,66295644907171 0,29 GJ273
9,51638273636844 12,5340785642203 7,78106412844042 0,9 GJ3021
-14,8907367093428 3,12027241608586 -6,68638364607096 0,47 GJ3082
0,166023978935719 -9,40667944790228 -20,4111963836722 0,52 GJ3090
-17,3597160358766 -21,088314124498 8,03321205871153 0,5 GJ3138
1,07158996276636 8,06502087500134 12,8354923348304 0,43 GJ317
-9,70756758338987 -7,10051863304305 -13,7104562908981 0,93 GJ3222
-2,85663248905269 10,5549346619341 17,3716525599838 0,65 GJ328
-7,71872745024524 -18,4495009229336 2,77225113103086 0,4 GJ3293
5,1174224933574 0,455503176914194 1,57905316753451 0,12 GJ3323
-19,7322675732057 -8,51026912316336 9,80153543434643 0,44 GJ3341
-0,965283800118931 -0,365456611098507 6,2478784242519 0,58 GJ338B
-20,783728814104 -8,62790321816371 18,9529596791579 0,55 GJ3470
